Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20
44.0,0.7974169639365617,-0.9580908251995915,,,158.0,1.4901478185352393,5.166124368721483,2.27794225961709,,5,X,1,Category1,Option4,8.824344611530917,11.71113036294012,Yes,Low,
47.0,0.026838178745214103,-0.2441783090045446,D,,,2.1515347860014447,0.45031217260808204,-3.3953558584438497,,3,X,0,Category1,Option2,,13.355832080263156,Yes,Low,cat
64.0,0.1999900022820793,-1.0147987443204454,B,0.0,474.0,1.410613113058646,6.786555096381965,-3.0707460330717034,,7,Z,0,Category1,Option2,,13.44948362886787,Yes,Medium,dog
67.0,0.47412449315878746,0.44804015035861594,B,,166.0,0.6350908903138338,1.9371581893140286,-0.24626915100159505,6.004974702673276,20,X,0,Category1,Option2,,7.687652301732686,Yes,Low,cat
,0.5985164510447496,0.08783924583699339,,0.0,,0.39210431940862994,4.010937335047976,3.215086470728949,2.8911989957122874,3,Z,0,Category1,Option3,11.259371037311839,6.807769674231409,Yes,Low,cat
,0.8797531840343717,-0.14749917285075315,D,,-40.59127236216466,0.7630043542565234,3.8461804783169895,-4.028923892741873,,2,Y,0,Category1,Option3,11.857069985400551,12.311780684856473,Yes,Medium,
,0.6383377074253918,1.456409932503242,,0.0,839.0,0.5054385246032874,0.6941139282867889,-1.1045117306991514,3.9736846435247157,4,Z,1,Category1,Option3,8.481114371650676,12.327733007071853,Yes,High,cat
,0.5223271169586728,0.12667283388253575,,1.0,840.0,3.156345294894787,5.71908169765312,-1.1493910157640832,8.114886846677456,3,X,0,Category1,Option1,11.946108928598838,12.995709026397446,Yes,Low,dog
36.0,0.9072932156271675,0.09309224885207697,,0.0,,3.36139011780233,9.777295112784719,1.5319955482670389,,17,X,0,Category3,Option3,12.543173850261303,10.407086872120079,Yes,High,
,0.9994264331840583,-1.5527222331379755,B,0.0,821.0,1.0785674702110688,2.4613833433792753,0.5530251996125107,3.036719795304628,5,Y,0,Category1,Option4,,12.653524261526478,No,High,cat
,0.7301937562123036,-0.48298765042062036,,0.0,53.0,0.977198026088699,9.674928825966262,-1.7053259430013517,,2,X,0,Category1,Option3,,13.733774324639024,Yes,Low,cat
,0.08716899598234362,-0.2936277556451592,A,0.0,587.0,2.428587515617725,3.271965250970513,0.9729525244509352,,3,Y,0,Category1,Option3,,12.457649156328166,Yes,Medium,some other
